Reference,Pin,Net,X_mm,Y_mm,Technology
J1,1,3V3,14.0,16.0,thru_hole
J1,2,3V3,14.0,18.54,thru_hole
J1,3,NC_EN,14.0,21.08,thru_hole
J1,4,MIC_BCLK,14.0,23.62,thru_hole
J1,5,MIC_WS,14.0,26.16,thru_hole
J1,6,MIC_SD,14.0,28.7,thru_hole
J1,7,LCD_BL,14.0,31.24,thru_hole
J1,8,AMP_SD,14.0,33.78,thru_hole
J1,9,AMP_BCLK,14.0,36.32,thru_hole
J1,10,AMP_WS,14.0,38.86,thru_hole
J1,11,AMP_DIN,14.0,41.4,thru_hole
J1,12,LCD_RST,14.0,43.94,thru_hole
J1,13,NC_GPIO3,14.0,46.48,thru_hole
J1,14,NC_GPIO46,14.0,49.02,thru_hole
J1,15,LCD_DC,14.0,51.56,thru_hole
J1,16,LCD_CS,14.0,54.1,thru_hole
J1,17,LCD_MOSI,14.0,56.64,thru_hole
J1,18,LCD_SCK,14.0,59.18,thru_hole
J1,19,NEXT,14.0,61.72,thru_hole
J1,20,PTT,14.0,64.26,thru_hole
J1,21,DEV_5V,14.0,66.8,thru_hole
J1,22,GND,14.0,69.34,thru_hole
J2,1,GND,36.86,16.0,thru_hole
J2,2,NC_TX43,36.86,18.54,thru_hole
J2,3,NC_RX44,36.86,21.08,thru_hole
J2,4,NC_GPIO1,36.86,23.62,thru_hole
J2,5,NC_GPIO2,36.86,26.16,thru_hole
J2,6,NC_GPIO42,36.86,28.7,thru_hole
J2,7,NC_GPIO41,36.86,31.24,thru_hole
J2,8,NC_GPIO40,36.86,33.78,thru_hole
J2,9,NC_GPIO39,36.86,36.32,thru_hole
J2,10,NC_GPIO38,36.86,38.86,thru_hole
J2,11,NC_GPIO37,36.86,41.4,thru_hole
J2,12,NC_GPIO36,36.86,43.94,thru_hole
J2,13,NC_GPIO35,36.86,46.48,thru_hole
J2,14,NC_GPIO0,36.86,49.02,thru_hole
J2,15,NC_GPIO45,36.86,51.56,thru_hole
J2,16,NC_GPIO48,36.86,54.1,thru_hole
J2,17,REC_LED,36.86,56.64,thru_hole
J2,18,LED_DATA,36.86,59.18,thru_hole
J2,19,NC_USB20,36.86,61.72,thru_hole
J2,20,NC_USB19,36.86,64.26,thru_hole
J2,21,GND,36.86,66.8,thru_hole
J2,22,GND,36.86,69.34,thru_hole
J3,1,VIN5,72,82,thru_hole
J3,2,GND,77.08,82,thru_hole
F1,1,VIN5,57,78,thru_hole
F1,2,FUSED5,62.08,78,thru_hole
Q1,1,Q_GATE,58.05,68,smd
Q1,2,5V_SYS,59.95,68,smd
Q1,3,FUSED5,59,66,smd
R1,1,Q_GATE,53.0,67,smd
R1,2,GND,55.0,67,smd
C1,1,5V_SYS,80,70,thru_hole
C1,2,GND,85,70,thru_hole
JP1,1,5V_SYS,42,77,thru_hole
JP1,2,DEV_5V,44.54,77,thru_hole
J4,1,5V_SYS,92,15.0,thru_hole
J4,2,GND,92,17.5,thru_hole
J4,3,LCD_SCK_R,92,20.0,thru_hole
J4,4,LCD_MOSI_R,92,22.5,thru_hole
J4,5,LCD_CS,92,25.0,thru_hole
J4,6,LCD_DC,92,27.5,thru_hole
J4,7,LCD_RST,92,30.0,thru_hole
J4,8,LCD_BL,92,32.5,thru_hole
R2,1,LCD_SCK,71.0,21,smd
R2,2,LCD_SCK_R,73.0,21,smd
R3,1,LCD_MOSI,71.0,27,smd
R3,2,LCD_MOSI_R,73.0,27,smd
J5,1,3V3,53,16.0,thru_hole
J5,2,GND,53,18.5,thru_hole
J5,3,MIC_BCLK,53,21.0,thru_hole
J5,4,MIC_WS,53,23.5,thru_hole
J5,5,MIC_SD,53,26.0,thru_hole
J5,6,GND,53,28.5,thru_hole
J6,1,5V_SYS,92,44.0,thru_hole
J6,2,GND,92,46.5,thru_hole
J6,3,AMP_BCLK,92,49.0,thru_hole
J6,4,AMP_WS,92,51.5,thru_hole
J6,5,AMP_DIN,92,54.0,thru_hole
J6,6,AMP_SD,92,56.5,thru_hole
R4,1,AMP_SD,80.0,54,smd
R4,2,GND,82.0,54,smd
U1,1,GND,62.05,45.1,smd
U1,2,LED_DATA,63,45.1,smd
U1,3,GND,63.95,45.1,smd
U1,4,LED_5V_BUF,63.95,42.9,smd
U1,5,5V_SYS,62.05,42.9,smd
C2,1,5V_SYS,58,40,smd
C2,2,GND,60,40,smd
R5,1,LED_DATA,56.0,48,smd
R5,2,GND,58.0,48,smd
R6,1,LED_5V_BUF,69.0,42,smd
R6,2,LED_DIN,71.0,42,smd
J7,1,5V_SYS,77,40.0,thru_hole
J7,2,GND,77,42.5,thru_hole
J7,3,LED_DIN,77,45.0,thru_hole
J8,1,PTT,9,77.0,thru_hole
J8,2,GND,9,79.5,thru_hole
J9,1,NEXT,20,77.0,thru_hole
J9,2,GND,20,79.5,thru_hole
J10,1,REC_ANODE,31,77.0,thru_hole
J10,2,GND,31,79.5,thru_hole
R7,1,REC_LED,47.0,62,smd
R7,2,REC_ANODE,49.0,62,smd
R8,1,PTT,45.0,53,smd
R8,2,3V3,47.0,53,smd
R9,1,NEXT,45.0,58,smd
R9,2,3V3,47.0,58,smd
C3,1,3V3,53,35,smd
C3,2,GND,55,35,smd
TP1,1,5V_SYS,69,61,thru_hole
TP2,1,GND,76,61,thru_hole
TP3,1,3V3,46,36,thru_hole
TP4,1,LED_DIN,71,49,thru_hole
