Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1000uF 10V","CP_Radial_D10_P5_C1",80.000000,-70.000000,0.000000,top
"C2","100nF","C_0805_2012Metric_C2",59.000000,-40.000000,0.000000,top
"C3","100nF","C_0805_2012Metric_C3",54.000000,-35.000000,0.000000,top
"F1","PTC 2.5A","PTC_P5.08_F1",57.000000,-78.000000,0.000000,top
"J1","DevKitC-1 socket J1","Socket_1x22_P2.54_J1",14.000000,-16.000000,0.000000,top
"J2","DevKitC-1 socket J3","Socket_1x22_P2.54_J2",36.860000,-16.000000,0.000000,top
"J3","5V INPUT","Terminal_1x02_P5.08_J3",72.000000,-82.000000,0.000000,top
"J4","LCD","XH_1x08_P2.50_J4",92.000000,-15.000000,0.000000,top
"J5","MIC 3V3","XH_1x06_P2.50_J5",53.000000,-16.000000,0.000000,top
"J6","AMP 5V","XH_1x06_P2.50_J6",92.000000,-44.000000,0.000000,top
"J7","RING 5V","XH_1x03_P2.50_J7",77.000000,-40.000000,0.000000,top
"J8","PTT","XH_1x02_P2.50_J8",9.000000,-77.000000,0.000000,top
"J9","PAGE","XH_1x02_P2.50_J9",20.000000,-77.000000,0.000000,top
"J10","REC LED","XH_1x02_P2.50_J10",31.000000,-77.000000,0.000000,top
"JP1","RUN POWER","PinHeader_1x02_P2.54_JP1",42.000000,-77.000000,0.000000,top
"Q1","AO3401A","SOT-23_Q1",59.000000,-67.000000,0.000000,top
"R1","100k","R_0805_2012Metric_R1",54.000000,-67.000000,0.000000,top
"R2","33R","R_0805_2012Metric_R2",72.000000,-21.000000,0.000000,top
"R3","33R","R_0805_2012Metric_R3",72.000000,-27.000000,0.000000,top
"R4","10k","R_0805_2012Metric_R4",81.000000,-54.000000,0.000000,top
"R5","100k","R_0805_2012Metric_R5",57.000000,-48.000000,0.000000,top
"R6","330R","R_0805_2012Metric_R6",70.000000,-42.000000,0.000000,top
"R7","1k","R_0805_2012Metric_R7",48.000000,-62.000000,0.000000,top
"R8","10k","R_0805_2012Metric_R8",46.000000,-53.000000,0.000000,top
"R9","10k","R_0805_2012Metric_R9",46.000000,-58.000000,0.000000,top
"TP1","5V_SYS","TestPoint_THT_D2_TP1",69.000000,-61.000000,0.000000,top
"TP2","GND","TestPoint_THT_D2_TP2",76.000000,-61.000000,0.000000,top
"TP3","3V3","TestPoint_THT_D2_TP3",46.000000,-36.000000,0.000000,top
"TP4","LED_DIN","TestPoint_THT_D2_TP4",71.000000,-49.000000,0.000000,top
"U1","SN74AHCT1G125","SOT-23-5_U1",63.000000,-44.000000,0.000000,top
